,title,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage,condition_0_conditionDisplayName_Excellent - Refurbished,condition_0_conditionDisplayName_For parts or not working,condition_0_conditionDisplayName_Good - Refurbished,condition_0_conditionDisplayName_New,condition_0_conditionDisplayName_Open box,condition_0_conditionDisplayName_Used,condition_0_conditionDisplayName_Very Good - Refurbished,primaryCategory_0_categoryName_Cell Phones & Smartphones,primaryCategory_0_categoryName_Memory Cards,"primaryCategory_0_categoryName_Mice, Trackballs & Touchpads",primaryCategory_0_categoryName_PC Laptops & Netbooks,Normalized_Discount,Demand_Score
22,"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 64GB SSD Windows 11 !!!",73.0,0,5806,1,73.0,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,5805.999994194
23,"ASUS 14"" FHD Laptop - Intel Pentium N6000 with 4GB Memory - 64GB eMMC - Star ...",229.99,0,45,1,119.99,2,1,0.0,0,110.0,47.82816644201922,False,False,False,True,False,False,False,False,False,False,True,0.4782816644181126,22.499999988749998
24,Acer Chromebook  Spin 11 R751T-C4XP N3350 1.1Ghz 4GB 32GB SSD (SEE PHOTOS),34.0,0,273,0,34.0,3,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,90.99999996966666
25,"Lenovo Thinkpad L14 G3 14"" Touch Laptop Ryzen 5 PRO 5675U 16GB 512GB SSD W11H",494.99,0,494,1,329.99,2,0,0.0,0,165.0,33.33400674761106,False,False,False,False,False,False,False,False,False,False,True,0.3333400674754372,246.9999998765
26,HP ProBook 450 G2 i5-5200U CPU@2.2GHz 8GB RAM 500GB HD H647,79.99,0,16,1,79.99,2,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,7.999999996
27,HP EliteBook 830 G7 FHD Laptop Intel Core i7-10610U 32GB RAM 256GB SSD Win11 Pro,759.98,0,172,1,299.89,1,0,0.0,1,460.09,60.53975104608016,False,False,False,False,False,False,False,False,False,False,True,0.605397510460005,171.999999828
28,"Lenovo - IdeaPad Slim 3 Chromebook Laptop - 14"" FHD Touchscreen Laptop - Medi...",319.0,0,323,1,169.0,2,1,0.0,0,150.0,47.02194357366771,False,False,False,True,False,False,False,False,False,False,True,0.4702194357352031,161.49999991925
29,"Getac V110 11.6"" Rugged Touch Screen Laptop I5 8GB RAM 128 SSD - USED (CC)",100.0,0,84,1,100.0,2,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,41.999999979
30,"Lenovo Thinkpad L13 Yoga G2 13"" Touchscreen Core i5-1145G7 16GB 256GB SSD W10P",449.99,0,122,1,299.99,2,0,0.0,0,150.0,33.334074090535346,False,False,False,False,False,False,False,False,False,False,True,0.3333407409046127,60.999999969499996
31,Microsoft Surface Pro 4 Intel Core i5-6300U 2.4GHz 4GB RAM 128GB SSD - See Desc.,72.9,0,252,0,72.9,1,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,251.999999748
32,"Dell Latitude 5490 14"" Laptop Intel Core i5 8GB RAM 128GB SSD Windows 11",105.0,0,35,1,105.0,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,34.999999965
33,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",169.99,0,55,1,169.99,2,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,27.49999998625
34,"ASUS - TUF 15.6"" Gaming Laptop - Intel Core i7 with 16GB Memory - NVIDIA GeFo...",1399.99,0,1037,1,999.99,2,1,0.0,0,400.0,28.57163265451896,False,False,False,True,False,False,False,False,False,False,True,0.2857163265449855,518.49999974075
35,"Laptop Dell Latitude 5410 14"" i5-10210U RAM 16GB, SSD 512GB  Win11Pro - Cam",159.12,0,47,1,159.12,3,0,6.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,15.666666661444443
36,"HP EliteBook 840 G3 14"" i5 - 8GB DDR4 256GB /512GB SSD Silver-C",86.0,1,6,1,86.0,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,5.9999999939999995
37,"Lenovo ThinkPad T14s Gen 1 14"" Core i5 16GB SSD 256GB Black 2020 - Used Good",154.99,0,358,1,154.99,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,357.999999642
38,"Getac V110 G3 11.6"" Touchscreen Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10",150.0,0,19,1,150.0,0,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,19000000000.0
39,"HP EliteBook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3 GHz 32GB 512GB W11P",1299.99,0,1888,1,359.99,1,1,0.0,1,940.0,72.30824852498866,False,False,False,False,False,False,False,False,False,False,True,0.7230824852493303,1887.999998112
40,Dell Latitude LAPTOP 14” HD NOTEBOOK PC i5-8265U UP TO 32GB 2TB M.2 WIN 10 OR 11,159.0,1,5,1,159.0,3,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,1.6666666661111111
41,"Dell Latitude 5410 14"" Laptop Core i5 4-Core 16GB RAM 256GB SSD Windows 11 Pro",239.75,0,1130,1,239.75,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,564.9999997175
42,"HP Elitebook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3GHz 32GB 512GB W11P",499.99,0,173,1,339.99,1,0,0.0,1,160.0,32.00064001280026,True,False,False,False,False,False,False,False,False,False,True,0.32000640012736253,172.99999982699998
43,"Lenovo ThinkPad X1 Carbon Gen 9 14"" Laptop Intel i7-1185G7 16GB 256GB SSD W11P",667.49,0,67,1,434.99,2,0,0.0,0,232.5,34.83198250161051,False,False,False,False,False,False,False,False,False,False,True,0.3483198250155833,33.49999998325
44,"Lenovo Ideapad 1 15Amn7 15.6"" Laptop Ryzen 3 7320U 8GB 256GB SSD W11H-64",314.99,0,551,1,204.99,2,0,0.0,0,110.0,34.9217435474142,False,False,False,False,False,False,False,False,False,False,True,0.34921743547303336,275.49999986225
45,"Acer CB514 14"" Laptop Touch 8GB 512GB Intel i3-N305 1.8GHz Certified Refurbished",399.99,0,341,1,181.99,3,0,0.0,0,218.0,54.50136253406335,False,False,False,False,False,False,False,False,False,False,True,0.545013625339271,113.66666662877778
46,"HP EliteBook 820 G4 Laptop Computer 12.5"" Core i5 8GB RAM 128GB SSD Windows 10",795.0,0,7982,1,128.14,2,0,0.0,0,666.86,83.88176100628931,False,False,False,False,False,False,True,False,False,False,True,0.838817610061838,3990.9999980045
47,"Acer Chromebook 315 Laptop 15.6"" 4GB 64GB Intel N4500 1.10GHz - Good Condition",199.0,0,86,1,76.89,3,0,0.0,0,122.11,61.36180904522613,False,False,True,False,False,False,False,False,False,False,True,0.6136180904491778,28.66666665711111
48,SGIN 15.6 Inch Laptop 8GB DDR4 256GB SSD Windows 11 Quad-Core IPS FHD Computer,189.0,0,301,1,189.0,1,0,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,300.999999699
49,"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",229.0,1,41,1,229.0,1,0,0.0,1,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,40.999999959
50,Dell Latitude 5420 Laptop 14 FHD Intel Core i5 1145G7 32GB 512GB SSD Win 11 Pro,799.0,0,42,1,279.99,0,0,0.0,1,519.01,64.95744680851064,True,False,False,False,False,False,False,False,False,False,True,0.6495744680842934,42000000000.0
51,"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB S...",899.99,0,458,1,529.99,2,1,0.0,0,370.0,41.11156790631007,False,False,False,True,False,False,False,False,False,False,True,0.4111156790626439,228.9999998855
52,"~OVERSTOCK~ 15.6"" HP ProBook Laptop: Intel i3! 16GB RAM~1TB Storage! Windows 10!",149.99,0,49,1,149.99,0,0,0.0,1,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,0.0,49000000000.0
53,"TouchScreen Acer Chromebook C738T 360 hinge 11.6"" Intel 1.6GHZ 4GB 16GB - Good",399.99,0,8531,1,54.99,0,0,0.0,1,345.0,86.2521563039076,False,False,True,False,False,False,False,False,False,False,True,0.8625215630369196,8530999999999.999
54,Dell Latitude 5411 14” FHD Laptop Core i5 4.6GHz 16GB RAM 512GB SSD Windows 11,250.84,0,157,1,250.84,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,78.49999996075
55,"Acer 315 Chromebook 15.6"" 64GB Intel Celeron N4500 1.1GHz Certified Refurbished",279.99,0,1021,1,99.99,3,0,0.0,0,180.0,64.28801028608164,False,False,False,False,False,False,False,False,False,False,True,0.6428801028585204,340.33333321988886
56,Dell Chromebook Laptop Intel 2.6 GHz CPU 4GB Memory 32GB HD Bluetooth Wifi 2021,79.99,1,797,1,79.99,1,0,0.0,1,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,0.0,796.9999992029999
57,ASUS - Zenbook 14 OLED 14WUXGA Touch Screen Laptop - Intel Core Ultra 5 wit...,799.99,0,355,1,499.99,2,1,0.0,0,300.0,37.50046875585944,False,False,False,True,False,False,False,False,False,False,True,0.3750046875581257,177.49999991125
58,Dell Latitude 3410 14” Full HD Laptop PC Core i5 16GB RAM 512GB SSD Windows 11,249.2,0,475,1,249.2,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,237.49999988124998
59,"Lenovo IdeaPad Slim 5 Laptop, 16"" IPS  60Hz, Ryzen 5 8645HS, 16GB, 512GB SSD",839.99,0,196,1,599.99,2,0,0.0,0,240.0,28.57176871153228,False,False,False,True,False,False,False,False,False,False,True,0.28571768711498263,97.99999995099999
60,"Acer Aspire 3 Laptop 15.6"" 1TB AMD Ryzen 5 7520U 2.8GHz Certified Reburbished",499.99,0,573,1,300.29,3,0,0.0,0,199.7,39.94079881597632,False,False,False,False,False,False,False,False,False,False,True,0.39940798815896433,190.99999993633332
61,"Lenovo - LOQ 15.6"" Gaming Laptop FHD - AMD Ryzen 5 7235HS with 12GB Memory - ...",799.99,0,361,1,799.99,2,1,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,180.49999990975
62,"HP - 15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC ...",399.0,0,145,1,179.0,2,1,0.0,0,220.0,55.13784461152882,False,False,False,True,False,False,False,False,False,False,True,0.5513784461139063,72.49999996375
63,HP EliteBook X360 1040 G6 Laptop 14” Touch Core i5 16GB RAM 256GB SSD Windows 11,238.41,0,633,1,238.41,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,316.49999984174997
64,"Dell - Inspiron 15 15.6"" Touch Screen Laptop - Intel Core i5 with 8GB Memory ...",629.99,0,403,1,429.99,2,1,0.0,0,200.0,31.74653565929618,False,False,False,True,False,False,False,False,False,False,True,0.3174653565924579,201.49999989924999
65,"MSI - Cyborg 14"" 144Hz Gaming Laptop (FHD+) - Intel Core i7-13620H with 16GB ...",1099.99,0,233,1,749.99,2,1,0.0,0,350.0,31.81847107700979,False,False,False,True,False,False,False,False,False,False,True,0.31818471076980864,116.49999994174999
66,"""CHUWI 13.3 Laptop Computer PC Windows 11 Home PC 2.7GHz 8GB 256GB HD WIFI""",134.39,0,929,1,134.39,0,0,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,929000000000.0
67,"HP 840 G3 14"" Laptop Intel i5-6300U 2.40GHz 16GB Ram 256GB SSD Intel HD 520 W10P",299.99,0,533,1,149.99,1,0,0.0,1,150.0,50.00166672222407,True,False,False,False,False,False,False,False,False,False,True,0.5000166672205739,532.999999467
68,"Acer - Chromebook 315 - 15.6"" HD Laptop - Intel Pentium N6000 - 4GB LPDDR4X -...",349.0,0,78,1,129.0,2,1,0.0,0,220.0,63.03724928366762,False,False,False,True,False,False,False,False,False,False,True,0.63037249283487,38.9999999805
69,"ASUS VivoBook17.3” FHD Laptop, Intel Core i3-1115G4,8GB/256GB,Transparent silver",399.99,0,910,1,225.99,1,0,0.0,0,174.0,43.50108752718818,False,False,False,False,False,False,False,False,False,False,True,0.43501087527079424,909.99999909
70,"Acer Aspire 3 15.6"" Laptop 512GB AMD Ryzen 7 5700U 1.8GHz Certified Refurbished",599.99,0,578,1,309.39,3,0,0.0,0,290.6,48.434140569009486,False,False,False,False,False,False,False,False,False,False,True,0.48434140568928763,192.66666660244445
71,"2023 ASUS Zenbook UM3402YA 14"" 2.8K OLED Touch Laptop Ryzen5 7530U 8GB 256GB W11",949.99,0,1573,1,375.0,1,1,0.0,1,574.99,60.525900272634445,False,False,False,False,False,False,False,False,False,False,True,0.6052590027257074,1572.9999984269998
72,"Acer Chromebook3 Laptop 15.6"" 4GB 64GB Intel N4500 1.10GHz Certified Refurbished",199.0,0,148,1,90.99,3,0,0.0,0,108.01,54.276381909547744,False,False,False,False,False,False,False,False,False,False,True,0.54276381909275,49.33333331688889
73,"Microsoft Surface Book 2 i5 8GB RAM 256GB SSD 13.5""  3000x2000 W10-READ",139.0,0,29,1,139.0,0,0,0.0,1,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,0.0,29000000000.0
74,windows 11 laptop with MS office ,109.0,0,16,0,109.0,3,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,5.333333331555555
