title,condition_0_conditionDisplayName,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,primaryCategory_0_categoryName,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage
['Acer Chromebook  Spin 11 R751T-C4XP N3350 1.1Ghz 4GB 32GB SSD (SEE PHOTOS)'],['Used'],34.0,['false'],['273'],['PC Laptops & Netbooks'],['false'],34.0,['3'],['false'],0.0,['false'],0.0,0.0
"['Lenovo Thinkpad L14 G3 14"" Touch Laptop Ryzen 5 PRO 5675U 16GB 512GB SSD W11H']",['Certified - Refurbished'],494.99,['false'],['494'],['PC Laptops & Netbooks'],['true'],329.99,['2'],['false'],0.0,['false'],165.0,33.33400674761106
['HP ProBook 450 G2 i5-5200U CPU@2.2GHz 8GB RAM 500GB HD H647'],['Used'],79.99,['false'],['16'],['PC Laptops & Netbooks'],['true'],79.99,['2'],['false'],0.0,['false'],0.0,0.0
['HP EliteBook 830 G7 FHD Laptop Intel Core i7-10610U 32GB RAM 256GB SSD Win11 Pro'],['Certified - Refurbished'],759.98,['false'],['172'],['PC Laptops & Netbooks'],['true'],299.89,['1'],['false'],0.0,['true'],460.09000000000003,60.539751046080156
"['Lenovo - IdeaPad Slim 3 Chromebook Laptop - 14"" FHD Touchscreen Laptop - Medi...']",['New'],319.0,['false'],['323'],['PC Laptops & Netbooks'],['true'],169.0,['2'],['true'],0.0,['false'],150.0,47.02194357366771
"['Getac V110 11.6"" Rugged Touch Screen Laptop I5 8GB RAM 128 SSD - USED (CC)']",['Used'],100.0,['false'],['84'],['PC Laptops & Netbooks'],['true'],100.0,['2'],['false'],0.0,['false'],0.0,0.0
"['Lenovo Thinkpad L13 Yoga G2 13"" Touchscreen Core i5-1145G7 16GB 256GB SSD W10P']",['Certified - Refurbished'],449.99,['false'],['122'],['PC Laptops & Netbooks'],['true'],299.99,['2'],['false'],0.0,['false'],150.0,33.334074090535346
['Microsoft Surface Pro 4 Intel Core i5-6300U 2.4GHz 4GB RAM 128GB SSD - See Desc.'],['Used'],72.9,['false'],['252'],['PC Laptops & Netbooks'],['false'],72.9,['1'],['false'],0.0,['false'],0.0,0.0
"['Dell Latitude 5490 14"" Laptop Intel Core i5 8GB RAM 128GB SSD Windows 11']",['Used'],105.0,['false'],['35'],['PC Laptops & Netbooks'],['true'],105.0,['1'],['false'],0.0,['true'],0.0,0.0
"['HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe']",['Used'],169.99,['false'],['55'],['PC Laptops & Netbooks'],['true'],169.99,['2'],['false'],0.0,['false'],0.0,0.0
